"filename", "language", "YAML", "Go", "Go Checksum File", "Protocol Buffers", "Go Module File", "comment", "blank", "total"
"/root/go/src/github.com/geraldkohn/im/pkg/common/grpc-etcdv3/pool.go", "Go", 0, 225, 0, 0, 0, 0, 30, 255
"/root/go/src/github.com/geraldkohn/im/pkg/common/grpc-etcdv3/register.go", "Go", 0, 80, 0, 0, 0, 0, 17, 97
"/root/go/src/github.com/geraldkohn/im/pkg/common/grpc-etcdv3/resolver.go", "Go", 0, 226, 0, 0, 0, 0, 40, 266
"/root/go/src/github.com/geraldkohn/im/pkg/common/http/http_client.go", "Go", 0, 42, 0, 0, 0, 0, 6, 48
"/root/go/src/github.com/geraldkohn/im/pkg/common/kafka/consumer.go", "Go", 0, 35, 0, 0, 0, 0, 8, 43
"/root/go/src/github.com/geraldkohn/im/pkg/common/kafka/consumer_group.go", "Go", 0, 47, 0, 0, 0, 0, 9, 56
"/root/go/src/github.com/geraldkohn/im/pkg/common/kafka/kafka_test.go", "Go", 0, 211, 0, 0, 0, 0, 36, 247
"/root/go/src/github.com/geraldkohn/im/pkg/common/kafka/producer.go", "Go", 0, 51, 0, 0, 0, 0, 6, 57
"/root/go/src/github.com/geraldkohn/im/pkg/common/logger/logger.go", "Go", 0, 44, 0, 0, 0, 0, 11, 55
"/root/go/src/github.com/geraldkohn/im/pkg/common/service-discovery/etcd_register_discovery.go", "Go", 0, 165, 0, 0, 0, 0, 19, 184
"/root/go/src/github.com/geraldkohn/im/pkg/common/service-discovery/etcd_test.go", "Go", 0, 21, 0, 0, 0, 0, 4, 25
"/root/go/src/github.com/geraldkohn/im/pkg/common/service-discovery/interface.go", "Go", 0, 11, 0, 0, 0, 0, 3, 14
"/root/go/src/github.com/geraldkohn/im/pkg/common/setting/setting.go", "Go", 0, 59, 0, 0, 0, 0, 11, 70
"/root/go/src/github.com/geraldkohn/im/pkg/utils/cors_middleware.go", "Go", 0, 21, 0, 0, 0, 0, 4, 25
"/root/go/src/github.com/geraldkohn/im/pkg/utils/cors_middleware_test.go", "Go", 0, 58, 0, 0, 0, 0, 10, 68
"/root/go/src/github.com/geraldkohn/im/pkg/utils/jwt_token.go", "Go", 0, 34, 0, 0, 0, 0, 10, 44
"/root/go/src/github.com/geraldkohn/im/pkg/utils/jwt_token_test.go", "Go", 0, 26, 0, 0, 0, 0, 5, 31
"/root/go/src/github.com/geraldkohn/im/pkg/utils/md5.go", "Go", 0, 11, 0, 0, 0, 0, 3, 14
"/root/go/src/github.com/geraldkohn/im/pkg/utils/md5_test.go", "Go", 0, 11, 0, 0, 0, 0, 5, 16
"/root/go/src/github.com/geraldkohn/im/pkg/utils/time_formatter.go", "Go", 0, 22, 0, 0, 0, 0, 7, 29
"Total", "-", 82, 4175, 686, 98, 96, 0, 665, 5802
